id	label	x	y	cluster	weight<Links>	weight<Total link strength>
333	changing the physical structure of non-ferrous metals and non-	0.2201	0.0985	6	610	6164.8822
334	coating metallic material	0.3516	0.1869	6	647	11671.2788
335	"enamelling of, or applying a vitreous layer to, metals"	0.4153	0.1443	6	482	1372.2886
336	non-mechanical removal of metallic material from surface	0.5063	-0.0187	6	634	8313.7068
337	cleaning or degreasing of metallic material by chemical	0.6115	-0.0697	6	615	4894.8022
338	electrolytic or electrophoretic processes for the production of compounds or	0.7043	0.4055	3	624	5888.0912
339	"processes for the electrolytic production, recovery or refining of metals"	0.7155	0.3665	3	598	2144.003
340	processes for the electrolytic or electrophoretic production	0.4405	-0.0494	6	638	6477.7168
341	processes for the electrolytic removal of materials from objects	0.546	-0.1615	6	593	6073.159
342	single-crystal-growth	0.3321	0.2348	6	633	8238.6356
343	combinatorial chemistry	0.9519	-0.0016	5	623	15468.869
344	mechanical treatment of natural fibrous or filamentary material to obtain fib	0.5727	-0.4432	5	470	1206.9558
345	chemical treatment of natural filamentary or fibrous material to obtain filam	0.8207	-0.4958	5	266	1818.1272
346	"mechanical methods or apparatus in the manufacture of artificial filaments, t"	0.4584	-0.6489	2	629	10444.8602
347	"chemical features in the manufacture of artificial filaments, threads, fibres"	0.4841	-0.6098	2	631	14985.8976
348	"preliminary treatment of fibres, e.g. for spinning"	0.3888	-0.501	5	602	2076.9322
349	spinning or twisting	0.2205	-0.5509	5	603	1252.416
350	"crimping or curling fibres, filaments, threads, or yarns"	0.1338	-0.6113	2	627	6854.6434
351	"warping, beaming or leasing"	0.0402	-0.7334	2	382	924.3564
352	"finishing or dressing of filaments, yarns, threads, cords, ropes"	0.2923	-0.8521	2	585	7069.0528
353	shedding mechanisms	0.0001	-0.7325	2	507	823.8104
354	woven fabrics	0.1069	-0.7229	2	642	10271.9696
355	auxiliary weaving apparatus	0.0228	-0.7053	2	537	1870.2264
356	knitting	-0.1113	-0.7563	2	628	8173.3236
357	"braiding or manufacture of lace, including bobbin-net or carbonised lace"	0.1148	-0.6599	2	608	7345.3782
358	trimmings	-0.2225	-0.648	2	492	1547.0032
359	making nets by knotting of filamentary material	-0.1659	-0.6209	2	432	1347.4294
360	"making textile fabrics, e.g. from fibres or filamentary material"	0.3476	-0.7921	2	641	16289.1688
361	sewing	-0.1312	-0.9158	2	608	3645.6856
362	embroidering	-0.0831	-0.9032	2	579	2506.5826
363	"indexing scheme associated with subclasses d05b and d05c, relating to sewing,"	-0.0997	-0.9451	2	550	3478.7814
